priority,file_type,file,specific_visual_problem,recommended_design_solution,status
"high","Markdown draft","src/content/knowledge/health conditions/Diseases/circadian-dysregulation.md	","External Unsplash image with uncontrolled crop, availability, and visual tone","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"high","Markdown draft","src/content/knowledge/health conditions/Diseases/diabetes-reversal.md	","External Unsplash image with uncontrolled crop, availability, and visual tone","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"high","Markdown draft","src/content/knowledge/health conditions/Diseases/gut-health.md	","External Unsplash image with uncontrolled crop, availability, and visual tone","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"high","Markdown draft","src/content/knowledge/health conditions/Diseases/hypertension.md	","External Unsplash image with uncontrolled crop, availability, and visual tone","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"high","Markdown draft","src/content/knowledge/health conditions/Diseases/insulin-resistance.md	","External Unsplash image with uncontrolled crop, availability, and visual tone","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"high","Markdown draft","src/content/knowledge/health conditions/Diseases/masld.md	","External Unsplash image with uncontrolled crop, availability, and visual tone","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"high","Markdown draft","src/content/knowledge/health conditions/Diseases/pcod-pcos.md	","External Unsplash image with uncontrolled crop, availability, and visual tone","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"high","Markdown draft","src/content/knowledge/health conditions/Diseases/thyroid-dysfunction.md	","External Unsplash image with uncontrolled crop, availability, and visual tone","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/a-fib.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/acid-reflux.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"high","Markdown draft","src/content/knowledge/health topics/General/acne-skin-clarity.md	","External Unsplash image with uncontrolled crop, availability, and visual tone","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/acne.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/adenomyosis.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/adhd-brain-focus-kids.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/adhd.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/alcoholic-liver-disease.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/anal-fissure.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/angina.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/anorexia-bulimia-bed.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/anorexia-nervosa.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"high","Markdown draft","src/content/knowledge/health topics/General/anti-aging-support.md	","External Unsplash image with uncontrolled crop, availability, and visual tone","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"high","Markdown draft","src/content/knowledge/health topics/General/anti-inflammatory-support.md	","External Unsplash image with uncontrolled crop, availability, and visual tone","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/anxiety.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"high","Markdown draft","src/content/knowledge/health topics/General/arthritis-support.md	","External Unsplash image with uncontrolled crop, availability, and visual tone","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/asthma.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/autoimmune-hashimotos-protocol.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/b12-deficiency.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/baby-tooth-decay.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/back-pain.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"high","Markdown draft","src/content/knowledge/health topics/General/back-spine-health.md	","External Unsplash image with uncontrolled crop, availability, and visual tone","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/bad-breath-gut.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"high","Markdown draft","src/content/knowledge/health topics/General/belly-fat-reduction.md	","External Unsplash image with uncontrolled crop, availability, and visual tone","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/binge-eating.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"high","Markdown draft","src/content/knowledge/health topics/General/blood-circulation.md	","External Unsplash image with uncontrolled crop, availability, and visual tone","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/boils-hidradenitis.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/botulism.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/bowel-cancer.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/bowel-polyps.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/breast-cancer.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/bulimia-nervosa.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
